capture_id,source_path,feed_timestamp,entity_id,cause,effect,header,description,informed_entities
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\alerts.pb,2026-09-12T01:58:19+00:00,BSA_293772,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,BART is recovering from an earlier problem. There is a 20-minute delay on the San Francisco Line in the Dublin / Pleasanton and Berryessa directions due to an equipment problem on the track near Daly City. ,"[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\alerts.pb,2026-09-12T01:58:19+00:00,BSA_293761,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"BART is recovering from an earlier problem. There is a 10-minute delay on the San Francisco Line in the SFO, Millbrae, Daly City and East Bay directions due to an equipment problem on the track near Daly City. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\alerts.pb,2026-09-12T14:16:05+00:00,BSA_293103,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,Passengers traveling between Union City and Warm Springs this weekend must transfer to a free bus while crews make track upgrades. Expect delays of 30-40 minutes. Green Line service will not operate between Daly City and Berryessa this weekend. Visit bart.gov for more info. ,"[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\alerts.pb,2026-09-12T14:16:05+00:00,BSA_293104,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"Due to the planned track work on the Orange Line, the last two evening trips from Berryessa/North San Jose normally scheduled for 11:38pm and 11:49pm are canceled.  The last train will depart Berryessa at 11:10pm. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\alerts.pb,2026-09-13T02:28:15+00:00,BSA_293790,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"There is a major delay due to PG&E power outage near Coliseum station. BART service has stopped between Fruitvale and Bay Fair. Alternative bus service available via AC Transit. Passengers traveling between Dublin/Pleasanton to Bayfair bus 28. Traveling between San Leandro to 12th Street via bus 1T. Traveling between San Leandro and Hayward via AC Transit bus 9, 28, 34, and 35.  ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\alerts.pb,2026-09-13T02:28:15+00:00,BSA_293103,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,Passengers traveling between Union City and Warm Springs this weekend must transfer to a free bus while crews make track upgrades. Expect delays of 30-40 minutes. Green Line service will not operate between Daly City and Berryessa this weekend. Visit bart.gov for more info. ,"[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\alerts.pb,2026-09-13T02:28:15+00:00,BSA_293104,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"Due to the planned track work on the Orange Line, the last two evening trips from Berryessa/North San Jose normally scheduled for 11:38pm and 11:49pm are canceled.  The last train will depart Berryessa at 11:10pm. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\alerts.pb,2026-09-14T01:24:34+00:00,BSA_610,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"Due to the planned track work on the Orange Line, the last two evening trips from Berryessa/North San Jose normally scheduled for 11:38pm and 11:49pm are canceled.  The last train will depart Berryessa at 11:10pm. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\alerts.pb,2026-09-14T01:24:34+00:00,BSA_560,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"Expect 30-minute delays starting at 9pm each night on Sunday-Thursday for riders traveling between Millbrae, SFO, and Daly City stations due to planned train control modernization construction work. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\alerts.pb,2026-09-14T01:24:34+00:00,BSA_551,UNKNOWN_CAUSE,UNKNOWN_EFFECT,BART.gov Alert,"Passengers traveling between Union City and Warm Springs this weekend must transfer to a free bus while crews make track upgrades. Expect delays of 30-40 minutes. During this work, Green Line service will not operate between Daly City and Berryessa. Visit bart.gov for more info. ","[{""route_id"":"""",""trip_id"":"""",""stop_id"":""""}]"
